hall_id,building_id,floor_no,room_no,occupancy,room_type,floor_plan,price,type,name,number of students,number of floors,average room size,contract type,is_aircooled,has_vending_machine,has_wifi_in_building,has_laundry,has_main_lounge,has_floor_lounge,has_tv_in_building,has_recreational_activities,has_communal_bathrooms,has_closet_space,has_desk,has_chair,has_microfridge,has_curtains,has_tv_in_room,has_wifi_in_room,has_carpeted_flooring,has_wardrobe,has_twin_bed_mattress,has_hardwood_flooring,has_accessibility_ramps,has_private_bathroom
AH,,Floor 2,221,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,222,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,223,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,224,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,225,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,226,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,227,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,228,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,229,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,230,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
